,is_pcba,revenue,is_bare_pcb,Days_since_order,Days_since_order,Date of registeration,date_active,Total_Purchase,last_order,Average
,sum,sum,sum,min,max,max,max,sum,max,
user_id,,,,,,,,,,
1ff03992-701b-4f78-bca3-8c26c82dd1e6,2,845.31,0,68 days 21:47:39.000000000,231 days 23:59:57.000000000,10/9/2016 20:38,5/11/2017,2,4/20/2017 18:59,81 days 13:06:09.000000000
dc0728f1-d986-403d-b065-c8b6015dc53f,2,558.5,0,72 days 05:32:22.000000000,127 days 04:50:59.000000000,1/17/2017 6:26,4/17/2017,2,4/17/2017 11:14,27 days 11:39:18.500000000
17ee07b1-dab9-416e-afba-8edcfe8e7ac6,1,474.15,0,78 days 15:43:07.000000000,78 days 15:43:07.000000000,4/7/2017 13:31,4/9/2017,1,4/11/2017 1:03,0 days 00:00:00.000000000
2e836e5d-eb39-45ef-9f3f-ae9b61dbe0a3,2,1375.03,0,80 days 00:05:34.000000000,238 days 21:36:16.000000000,4/2/2016 3:20,4/9/2017,2,4/9/2017 16:41,79 days 10:45:21.000000000
f57a9809-9ff2-45cf-b40b-ac24a8c20801,3,1625.2,0,83 days 01:53:02.000000000,174 days 23:10:47.000000000,12/20/2016 20:38,4/6/2017,3,4/6/2017 14:54,30 days 15:05:55.000000000
b6cd6c69-8950-4070-bf2d-1c0aa33971a3,0,260.72,4,83 days 12:31:09.000000000,314 days 19:04:49.000000000,8/8/2016 22:28,9/27/2016,4,4/6/2017 4:15,57 days 19:38:25.000000000
5bdc0875-31cc-40fe-bb19-55fa088e84bf,2,947.08,2,87 days 18:37:19.000000000,316 days 20:34:44.000000000,4/14/2016 20:43,8/20/2016,4,4/1/2017 22:09,57 days 06:29:21.250000000
aef9af99-00ec-484b-9f87-16d704a75140,1,689.72,3,89 days 18:58:02.000000000,252 days 15:54:38.000000000,3/29/2016 23:41,4/8/2017,4,3/30/2017 21:49,40 days 17:14:09.000000000
557dfa0f-d959-4706-baa0-4a4481a13c49,3,707.53,4,90 days 10:22:22.000000000,149 days 16:19:21.000000000,10/7/2016 19:10,3/8/2017,7,3/30/2017 6:24,8 days 11:08:08.428571428
7e031834-b3ca-4e9e-8881-7b6c773197e4,1,427.08,0,96 days 21:38:37.000000000,96 days 21:38:37.000000000,5/22/2016 5:09,4/2/2017,1,3/23/2017 19:08,0 days 00:00:00.000000000
a4d01717-1ea4-4c4c-b5e3-36df831d59f3,0,127.87,5,97 days 01:13:49.000000000,295 days 22:43:14.000000000,6/18/2016 16:47,9/5/2016,5,3/23/2017 15:33,39 days 18:41:53.000000000
d95fff48-d2d7-4e28-8e39-3e3b14e5c720,0,15.86,1,98 days 02:48:39.000000000,98 days 02:48:39.000000000,6/1/2016 23:26,6/7/2017,1,3/22/2017 13:58,0 days 00:00:00.000000000
ef49a078-8f3b-4fd3-a7eb-c30bfe803909,7,1196.91,0,103 days 12:26:05.000000000,383 days 22:21:53.000000000,6/9/2016 6:13,6/9/2016,7,3/17/2017 4:20,40 days 01:25:06.857142857
