,is_pcba,revenue,is_bare_pcb,Days_since_order,Days_since_order,Date of registeration,date_active,Total_Purchase,last_order,Average
,sum,sum,sum,min,max,max,max,sum,max,
user_id,,,,,,,,,,
51732e66-c0db-44b4-98ce-ed436225658b,0,13.46,2,315 days 23:28:21.000000000,320 days 21:41:53.000000000,8/11/2016 18:40,8/16/2016,2,8/16/2016 17:18,2 days 11:06:46.000000000
d878f4aa-f75e-4081-917b-5b30907a1815,0,7.21,1,320 days 11:01:33.000000000,320 days 11:01:33.000000000,6/3/2016 23:09,8/12/2016,1,8/12/2016 5:45,0 days 00:00:00.000000000
f1fc3dd2-3427-4605-b495-663f147d6b3b,0,28.07,1,331 days 10:29:18.000000000,331 days 10:29:18.000000000,5/22/2016 15:46,8/1/2016,1,8/1/2016 6:17,0 days 00:00:00.000000000
2dea394a-9f95-4135-8e80-1ffc8a85e900,1,240.32,0,334 days 10:48:42.000000000,334 days 10:48:42.000000000,7/26/2016 22:33,8/5/2016,1,7/29/2016 5:58,0 days 00:00:00.000000000
008a7067-6ed5-4b85-9c4b-222ecd71ca71,1,1020.31,2,334 days 16:05:50.000000000,369 days 23:24:40.000000000,6/21/2016 3:49,8/4/2016,3,7/29/2016 0:41,11 days 18:26:16.666666666
036bb865-6318-471e-94bb-5d9abd0534f4,0,13.4,1,336 days 16:13:34.000000000,336 days 16:13:34.000000000,7/27/2016 0:16,7/29/2016,1,7/27/2016 0:33,0 days 00:00:00.000000000
861f2fbd-1478-4880-bc00-78a6fc33224b,1,306.02,1,338 days 01:49:14.000000000,358 days 00:37:29.000000000,7/5/2016 5:54,8/30/2016,2,7/25/2016 14:57,9 days 23:24:07.500000000
f993c1d3-a81e-46da-ac7a-38dd3578d9ee,0,9.44,1,338 days 20:13:38.000000000,338 days 20:13:38.000000000,7/15/2016 18:54,7/24/2016,1,7/24/2016 20:33,0 days 00:00:00.000000000
159565df-ff88-450a-ab91-b50954b24870,1,447.35,0,342 days 22:16:00.000000000,342 days 22:16:00.000000000,6/3/2016 17:15,7/3/2016,1,7/20/2016 18:31,0 days 00:00:00.000000000
beb19b57-278f-4293-aafc-be60b7e45ae3,1,289.78,0,343 days 18:09:45.000000000,343 days 18:09:45.000000000,7/15/2016 19:15,9/7/2016,1,7/19/2016 22:37,0 days 00:00:00.000000000
127753e9-08ff-4449-93f1-30844ade8a31,1,493.44,3,344 days 16:31:16.000000000,354 days 21:10:25.000000000,7/8/2016 19:29,7/8/2016,4,7/19/2016 0:15,2 days 13:09:47.250000000
feaa4d50-e22d-4976-8dc9-badd5868ca42,0,27.49,3,347 days 21:11:10.000000000,396 days 01:26:14.000000000,5/20/2016 17:07,7/15/2016,3,7/15/2016 19:35,16 days 01:25:01.333333333
5545beab-3801-4008-8ccc-c5b58d803e13,0,34.45,1,352 days 18:39:35.000000000,352 days 18:39:35.000000000,6/19/2016 1:01,9/1/2016,1,7/10/2016 22:07,0 days 00:00:00.000000000
9acce2b8-525a-4430-beab-064aec8e4f02,0,10.29,1,355 days 10:35:24.000000000,355 days 10:35:24.000000000,7/2/2016 21:06,7/9/2016,1,7/8/2016 6:11,0 days 00:00:00.000000000
225cdac5-5515-4269-8b32-28f86dde4af9,3,883.83,0,356 days 20:05:26.000000000,378 days 03:46:12.000000000,5/24/2016 18:19,7/6/2016,3,7/6/2016 20:41,7 days 02:33:35.333333333
cd571c09-cbbe-440f-adda-140ac8bc04ec,1,348.92,0,357 days 01:24:07.000000000,357 days 01:24:07.000000000,6/13/2016 18:29,7/6/2016,1,7/6/2016 15:22,0 days 00:00:00.000000000
aa45fc43-f857-444f-b270-dbf548c9b0f0,0,27.43,1,357 days 20:43:50.000000000,357 days 20:43:50.000000000,5/27/2016 0:45,7/5/2016,1,7/5/2016 20:03,0 days 00:00:00.000000000
dcb1bb85-a925-485c-9392-a8ec53d36792,0,36.3,1,360 days 11:57:33.000000000,360 days 11:57:33.000000000,5/14/2016 18:36,9/25/2016,1,7/3/2016 4:49,0 days 00:00:00.000000000
d60e1135-3b13-4dab-9355-c869d9ba53db,1,548.31,0,361 days 22:23:11.000000000,361 days 22:23:11.000000000,5/20/2016 13:19,7/1/2016,1,7/1/2016 18:23,0 days 00:00:00.000000000
94bff570-45f1-4ced-9918-408bc7ec6133,0,11,1,362 days 08:11:40.000000000,362 days 08:11:40.000000000,7/1/2016 8:29,7/1/2016,1,7/1/2016 8:35,0 days 00:00:00.000000000
216dcb07-cbe8-4d18-8434-47bd49842cb2,0,33.72,2,362 days 20:52:24.000000000,393 days 22:54:57.000000000,5/25/2016 21:25,6/30/2016,2,6/30/2016 19:54,15 days 13:01:16.500000000
4e56ae86-4c83-41c6-b6fa-6ffea8caa11e,1,120.89,0,368 days 21:39:19.000000000,368 days 21:39:19.000000000,6/20/2016 3:22,6/24/2016,1,6/24/2016 19:07,0 days 00:00:00.000000000
44b84f59-d7cf-42b8-926c-df0fdece2a37,0,84.81,2,372 days 13:50:41.000000000,372 days 14:00:08.000000000,6/21/2016 2:28,6/20/2016,2,6/21/2016 2:56,0 days 00:04:43.500000000
7e69b4eb-7b2b-4673-b830-4dcd194d5789,0,13.36,1,373 days 18:42:41.000000000,373 days 18:42:41.000000000,5/24/2016 4:01,6/25/2016,1,6/19/2016 22:04,0 days 00:00:00.000000000
bd07718b-c449-4160-8ef0-b48ae9cd353e,0,10.33,1,374 days 20:45:06.000000000,374 days 20:45:06.000000000,5/26/2016 17:01,6/19/2016,1,6/18/2016 20:01,0 days 00:00:00.000000000
8d9885b1-bbad-4d9d-b5b9-87e7f62d5ace,0,51.76,2,380 days 23:19:36.000000000,414 days 05:54:50.000000000,4/11/2016 9:52,7/16/2016,2,6/12/2016 17:27,16 days 15:17:37.000000000
29099b34-5a16-4a94-9c7c-b04b2abf2857,0,6,1,381 days 12:43:05.000000000,381 days 12:43:05.000000000,5/20/2016 14:50,6/12/2016,1,6/12/2016 4:03,0 days 00:00:00.000000000
4e28782a-e908-41c5-a3d0-1e772e746d05,1,329.36,0,385 days 19:59:51.000000000,385 days 19:59:51.000000000,5/31/2016 4:48,6/8/2016,1,6/7/2016 20:47,0 days 00:00:00.000000000
f26eb537-a8d5-40c8-bc8d-e5d233f7d6c9,0,13.57,1,386 days 02:49:52.000000000,386 days 02:49:52.000000000,6/3/2016 15:18,6/7/2016,1,6/7/2016 13:57,0 days 00:00:00.000000000
133f3b30-6bae-4b3e-9d42-33b5ed191b5e,0,81.22,2,386 days 18:08:08.000000000,415 days 15:46:22.000000000,4/14/2016 22:56,7/14/2016,2,6/6/2016 22:38,14 days 10:49:07.000000000
3faa1204-c53d-4417-930d-5ea6afe1d08c,1,139.3,0,386 days 21:10:29.000000000,386 days 21:10:29.000000000,5/26/2016 19:24,6/6/2016,1,6/6/2016 19:36,0 days 00:00:00.000000000
11922881-e751-4866-80a8-36736b6749d8,0,6,1,387 days 09:53:51.000000000,387 days 09:53:51.000000000,3/29/2016 23:39,7/24/2016,1,6/6/2016 6:53,0 days 00:00:00.000000000
5d5528b3-7768-49da-a32b-099324eff032,1,207.12,1,387 days 13:20:52.000000000,388 days 16:15:58.000000000,6/2/2016 23:49,6/7/2016,2,6/6/2016 3:26,0 days 13:27:33.000000000
2dadee4e-9bc0-40b6-9215-a8ecc7946564,0,6.07,1,390 days 02:47:16.000000000,390 days 02:47:16.000000000,6/2/2016 21:12,6/3/2016,1,6/3/2016 13:59,0 days 00:00:00.000000000
eb3ea9aa-77a2-4bce-916d-e138a90649eb,0,6.75,1,390 days 21:28:44.000000000,390 days 21:28:44.000000000,6/1/2016 16:35,8/24/2016,1,6/2/2016 19:18,0 days 00:00:00.000000000
1a10d160-8adf-45aa-9a78-054b6d0b3126,0,19.61,1,397 days 20:51:21.000000000,397 days 20:51:21.000000000,5/24/2016 15:15,6/6/2016,1,5/26/2016 19:55,0 days 00:00:00.000000000
b733f37b-4e9f-4537-bdf6-2954c978dc02,0,23.45,1,398 days 02:22:44.000000000,398 days 02:22:44.000000000,5/24/2016 14:50,5/26/2016,1,5/26/2016 14:24,0 days 00:00:00.000000000
662f710a-f912-460d-9f67-54c8c0d33867,0,6,1,398 days 13:41:04.000000000,398 days 13:41:04.000000000,5/25/2016 18:13,6/17/2016,1,5/26/2016 3:06,0 days 00:00:00.000000000
b2587630-13fd-4d1d-a981-083b34894a87,0,6,1,398 days 14:14:17.000000000,398 days 14:14:17.000000000,5/25/2016 14:35,6/20/2016,1,5/26/2016 2:32,0 days 00:00:00.000000000
bb57ef74-adf9-49d2-9a04-1f0a71af31ba,0,10.29,1,400 days 05:19:29.000000000,400 days 05:19:29.000000000,5/23/2016 22:59,5/24/2016,1,5/24/2016 11:27,0 days 00:00:00.000000000
c5eff939-baef-4824-81da-489e25cbb5c2,0,38,2,400 days 21:48:33.000000000,400 days 21:54:55.000000000,5/23/2016 18:31,9/12/2016,2,5/23/2016 18:58,0 days 00:03:11.000000000
9d59e9ca-f5be-4618-ae05-da87410797ef,0,6,1,402 days 01:22:12.000000000,402 days 01:22:12.000000000,5/21/2016 18:23,5/22/2016,1,5/22/2016 15:24,0 days 00:00:00.000000000
34f88a6d-d16a-4c07-96ab-5f6bec263e61,0,36.59,1,402 days 17:48:09.000000000,402 days 17:48:09.000000000,5/21/2016 20:00,6/25/2016,1,5/21/2016 22:58,0 days 00:00:00.000000000
3daad2f8-f1a2-4783-9ab1-039d1ab9fab8,0,14.45,1,414 days 00:03:56.000000000,414 days 00:03:56.000000000,3/29/2016 14:24,5/5/2016,1,5/10/2016 16:43,0 days 00:00:00.000000000
dcfcdf1d-300f-4279-835d-04cd2ad482df,0,6,1,417 days 19:19:05.000000000,417 days 19:19:05.000000000,5/6/2016 21:23,6/1/2016,1,5/6/2016 21:27,0 days 00:00:00.000000000
bb0e2781-1dbd-437d-86f8-5ac01ec6ed0e,1,248.11,0,434 days 00:25:33.000000000,434 days 00:25:33.000000000,4/11/2016 20:08,4/11/2016,1,4/20/2016 16:21,0 days 00:00:00.000000000
