user_id,revenue,is_bare_pcb,Date of registeration,is_pcba,Days_since_order,Total_Purchase
29099b34-5a16-4a94-9c7c-b04b2abf2857,6.0,1,2016-05-20 14:50:32,0,379 days 07:18:12.000000000,1
4e28782a-e908-41c5-a3d0-1e772e746d05,329.36,0,2016-05-31 04:48:22,1,383 days 14:34:58.000000000,1
f26eb537-a8d5-40c8-bc8d-e5d233f7d6c9,13.57,1,2016-06-03 15:18:28,0,383 days 21:24:59.000000000,1
133f3b30-6bae-4b3e-9d42-33b5ed191b5e,81.22,2,2016-04-14 22:56:51,0,384 days 12:43:15.000000000,2
3faa1204-c53d-4417-930d-5ea6afe1d08c,139.3,0,2016-05-26 19:24:00,1,384 days 15:45:36.000000000,1
11922881-e751-4866-80a8-36736b6749d8,6.0,1,2016-03-29 23:39:37,0,385 days 04:28:58.000000000,1
5d5528b3-7768-49da-a32b-099324eff032,207.12,1,2016-06-02 23:49:12,1,385 days 07:55:59.000000000,2
2dadee4e-9bc0-40b6-9215-a8ecc7946564,6.07,1,2016-06-02 21:12:11,0,387 days 21:22:23.000000000,1
eb3ea9aa-77a2-4bce-916d-e138a90649eb,6.75,1,2016-06-01 16:35:50,0,388 days 16:03:51.000000000,1
1a10d160-8adf-45aa-9a78-054b6d0b3126,19.61,1,2016-05-24 15:15:41,0,395 days 15:26:28.000000000,1
b733f37b-4e9f-4537-bdf6-2954c978dc02,23.45,1,2016-05-24 14:50:30,0,395 days 20:57:51.000000000,1
662f710a-f912-460d-9f67-54c8c0d33867,6.0,1,2016-05-25 18:13:35,0,396 days 08:16:11.000000000,1
b2587630-13fd-4d1d-a981-083b34894a87,6.0,1,2016-05-25 14:35:12,0,396 days 08:49:24.000000000,1
bb57ef74-adf9-49d2-9a04-1f0a71af31ba,10.29,1,2016-05-23 22:59:18,0,397 days 23:54:36.000000000,1
c5eff939-baef-4824-81da-489e25cbb5c2,38.0,2,2016-05-23 18:31:17,0,398 days 16:23:40.000000000,2
9d59e9ca-f5be-4618-ae05-da87410797ef,6.0,1,2016-05-21 18:23:26,0,399 days 19:57:19.000000000,1
34f88a6d-d16a-4c07-96ab-5f6bec263e61,36.59,1,2016-05-21 20:00:36,0,400 days 12:23:16.000000000,1
3daad2f8-f1a2-4783-9ab1-039d1ab9fab8,14.45,1,2016-03-29 14:24:46,0,411 days 18:39:03.000000000,1
dcfcdf1d-300f-4279-835d-04cd2ad482df,6.0,1,2016-05-06 21:23:06,0,415 days 13:54:12.000000000,1
bb0e2781-1dbd-437d-86f8-5ac01ec6ed0e,248.11,0,2016-04-11 20:08:14,1,431 days 19:00:40.000000000,1
